SN 1997do 4   07 26 27.49 +47 04 06.3 16.194 0.040  0.736 0.105 1.011 0.043  0.591 0.035  1.151 0.037 1
SN 1997do 5   07 26 35.73 +47 03 20.7 16.362 0.042  0.251 0.111 0.774 0.046  0.432 0.037  0.858 0.039 1
SN 1997do 6   07 26 43.33 +47 03 31.7 15.545 0.033 -0.008 0.088 0.675 0.035  0.361 0.029  0.718 0.031 1
SN 1997do 7   07 26 45.40 +47 03 37.2 16.352 0.042  0.072 0.111 0.694 0.046  0.388 0.037  0.772 0.039 1
SN 1997do 8   07 26 55.57 +47 04 15.6 17.046 0.055  0.454 0.142 0.881 0.060  0.506 0.047  0.946 0.051 1
SN 1997do 9   07 26 48.30 +47 05 20.9 17.250 0.060  0.431 0.153 0.860 0.066  0.464 0.051  0.885 0.055 1
SN 1997do 10  07 26 48.46 +47 05 35.9 17.955 0.080  1.550 0.204 1.340 0.089  0.897 0.068  1.705 0.074 1
SN 1997do 11  07 26 40.59 +47 07 03.9 17.893 0.078  0.607 0.199 0.948 0.087  0.547 0.066  1.016 0.072 1
SN 1997dt 1   22 59 55.18 +16 00 31.0 15.940 0.037 -0.004 0.098 0.581 0.040  0.347 0.033  0.682 0.034 1
SN 1997dt 2   22 59 54.90 +15 59 23.2 18.007 0.082 -0.213 0.208 0.547 0.091  0.332 0.069  0.728 0.075 1
SN 1997dt 3   22 59 57.02 +15 56 18.8 16.646 0.047  0.167 0.122 0.767 0.051  0.434 0.041  0.911 0.044 1
SN 1997dt 4   23 00 07.16 +15 57 04.8 16.520 0.045  0.894 0.117 1.051 0.049  0.639 0.039  1.209 0.042 1
SN 1997dt 5   23 00 15.93 +15 56 24.4 18.056 0.084 -0.086 0.213 0.543 0.093  0.346 0.071  0.734 0.077 1
SN 1997dt 6   23 00 13.88 +15 57 11.1 15.256 0.030  0.143 0.082 0.790 0.032  0.464 0.027  0.951 0.029 1
SN 1997dt 7   23 00 13.03 +15 58 55.3 16.807 0.050 -0.182 0.130 0.547 0.055  0.338 0.043  0.708 0.046 1
SN 1997dt 8   23 00 14.85 +16 00 25.1 17.785 0.075 -0.077 0.190 0.573 0.083  0.362 0.063  0.711 0.069 1
SN 1997dt 9   23 00 10.63 +15 59 45.5 17.496 0.066  0.247 0.169 0.785 0.073  0.463 0.056  0.883 0.061 1
SN 1997dt 10  23 00 06.65 +15 59 43.2 17.146 0.057  0.019 0.147 0.659 0.063  0.381 0.049  0.808 0.053 1
SN 1998D  1   14 03 11.93 +34 49 23.6 15.350 0.013  0.082 0.049 0.672 0.014  0.370 0.007  0.755 0.029 3
SN 1998D  2   14 03 10.88 +34 48 48.1 16.041 0.012 -0.059 0.042 0.584 0.012  0.354 0.010  0.725 0.027 4
SN 1998D  3   14 02 57.85 +34 47 36.6 16.896 0.014  0.037 0.067 0.724 0.013  0.427 0.009  0.900 0.015 4
SN 1998D  4   14 02 53.98 +34 47 12.0 17.567 0.012 -0.016 0.063 0.038 0.015  0.015 0.014  0.123 0.045 4
SN 1998D  5   14 02 51.94 +34 47 00.5 15.281 0.014  0.336 0.053 0.780 0.016  0.445 0.007  0.878 0.029 3
SN 1998D  6   14 02 46.22 +34 46 31.8 15.687 0.013  0.608 0.048 0.904 0.016  0.559 0.011  1.057 0.032 4
SN 1998D  7   14 02 56.40 +34 43 34.8 15.889 0.015 -0.054 0.041 0.587 0.012  0.348 0.008  0.707 0.034 4
SN 1998D  8   14 02 55.85 +34 40 26.0 16.586 0.013 -0.075 0.044 0.587 0.010  0.344 0.008  0.703 0.019 4
SN 1998D  9   14 03 23.77 +34 43 51.6 15.522 0.013  0.032 0.040 0.600 0.011  0.341 0.010  0.707 0.031 4
SN 1998V  1   18 22 42.93 +15 43 30.7 15.705 0.011  0.434 0.050 0.894 0.013  0.516 0.007  1.007 0.012 5
SN 1998V  2   18 22 39.60 +15 44 39.8 16.421 0.014  0.169 0.051 0.653 0.016  0.409 0.008  0.813 0.012 5
SN 1998V  3   18 22 33.94 +15 44 06.1 16.029 0.012  0.156 0.053 0.732 0.024  0.425 0.013  0.864 0.011 5
SN 1998V  4   18 22 29.21 +15 43 47.4 16.437 0.010  0.194 0.048 0.810 0.013  0.480 0.007  0.978 0.013 5
SN 1998V  5   18 22 31.58 +15 41 12.9 17.034 0.011  0.246 0.045 0.848 0.010  0.524 0.009  1.070 0.019 5
SN 1998V  6   18 22 34.57 +15 40 59.2 16.513 0.011  0.616 0.058 1.074 0.036  0.639 0.009  1.291 0.013 5
SN 1998V  7   18 22 35.69 +15 40 25.7 16.180 0.011  0.381 0.042 0.890 0.011  0.529 0.007  1.040 0.011 5
SN 1998V  8   18 22 37.15 +15 40 02.0 16.120 0.011  0.208 0.043 0.784 0.016  0.479 0.008  0.968 0.012 5
SN 1998V  9   18 22 39.65 +15 39 55.5 16.129 0.012  0.746 0.044 1.113 0.012  0.642 0.007  1.263 0.014 5
SN 1998V  10  18 22 43.56 +15 40 37.2 16.653 0.012  0.678 0.041 1.141 0.013  0.664 0.008  1.339 0.013 5
SN 1998V  11  18 22 39.20 +15 41 17.4 16.101 0.012  0.957 0.042 1.117 0.013  0.670 0.008  1.258 0.014 5
SN 1998ab 1   12 48 27.54 +41 57 37.0 15.196 0.013  0.306 0.044 0.754 0.011  0.420 0.009  0.814 0.023 4
SN 1998ab 2   12 48 29.50 +41 56 43.4 17.322 0.012  0.612 0.043 0.890 0.012  0.538 0.009  1.041 0.020 5
SN 1998ab 3   12 48 35.46 +41 55 35.9 17.430 0.013 -0.044 0.042 0.671 0.016  0.431 0.010  0.899 0.034 5
SN 1998ab 4   12 48 44.97 +41 53 37.3 18.253 0.013              1.426 0.031  0.894 0.013  1.746 0.014 5
SN 1998ab 5   12 48 47.63 +41 53 09.1 16.361 0.011 -0.552 0.042 0.135 0.011 -0.038 0.013 -0.055 0.028 5
SN 1998ab 6   12 48 56.78 +41 52 30.7 15.648 0.010 -0.055 0.041 0.587 0.013  0.337 0.009  0.676 0.020 5
SN 1998ab 7   12 49 02.45 +41 53 04.5 16.189 0.011  0.408 0.042 0.816 0.014  0.449 0.008  0.876 0.018 5
SN 1998ab 8   12 49 02.01 +41 55 17.6 17.318 0.014  1.194 0.095 1.377 0.020  0.879 0.010  1.729 0.019 5
SN 1998ab 9   12 48 59.07 +41 57 15.3 17.300 0.011  1.311 0.272 1.569 0.013  1.010 0.013  2.201 0.011 5
SN 1998bp 1   17 54 50.25 +18 20 13.9 17.290 0.014  1.276 0.117 1.330 0.020  0.814 0.014  1.515 0.017 6
SN 1998bp 2   17 54 48.77 +18 21 05.7 16.960 0.013  0.062 0.049 0.658 0.019  0.378 0.008  0.750 0.011 6
SN 1998bp 3   17 54 48.24 +18 20 43.5 16.565 0.014  0.094 0.044 0.662 0.014  0.387 0.009  0.768 0.016 6
SN 1998bp 4   17 54 44.94 +18 19 44.9 16.987 0.014  0.597 0.044 0.881 0.015  0.508 0.010  0.977 0.015 6
SN 1998bp 5   17 54 44.30 +18 18 37.9 15.575 0.015  0.389 0.044 0.812 0.014  0.466 0.008  0.906 0.012 6
SN 1998bp 6   17 54 46.13 +18 18 04.0 16.122 0.015  0.285 0.042 0.771 0.015  0.443 0.008  0.884 0.011 6
SN 1998bp 7   17 54 52.68 +18 17 30.1 16.492 0.014  0.142 0.045 0.712 0.014  0.408 0.007  0.816 0.012 6
SN 1998bp 8   17 54 54.92 +18 18 40.0 18.093 0.012  0.052 0.041 0.658 0.022  0.381 0.011  0.766 0.020 6
SN 1998bp 9   17 54 52.72 +18 19 33.9 16.783 0.015  0.275 0.047 0.735 0.013  0.411 0.009  0.813 0.020 6
SN 1998bp 10  17 54 55.65 +18 20 09.3 17.219 0.013  0.105 0.045 0.678 0.018  0.411 0.008  0.821 0.022 6
SN 1998bp 11  17 54 56.27 +18 20 25.0 15.992 0.015 -0.077 0.045 0.500 0.013  0.315 0.008  0.653 0.013 6
SN 1998co 1   21 47 44.17 -13 08 23.1 16.237 0.012  0.539 0.042 0.894 0.012  0.535 0.012  1.016 0.009 3
SN 1998co 2   21 47 47.13 -13 12 11.7 17.779 0.018  0.053 0.059 0.681 0.028  0.416 0.012  0.811 0.031 3
SN 1998co 3   21 47 45.79 -13 12 37.3 17.968 0.018  1.240 0.247 1.208 0.017  0.751 0.007  1.396 0.024 3
