SN 1998V  2450896.01 15.960 0.038 15.996 0.014 15.736 0.007 15.558 0.010 15.807 0.011 AndyCam/SAO
SN 1998V  2450900.93 16.362 0.036 16.337 0.011 15.913 0.007 15.812 0.008 16.036 0.012 AndyCam/SAO
SN 1998V  2450904.00 16.906 0.036 16.601 0.011 16.159 0.007 16.090 0.010 16.248 0.013 AndyCam/SAO
SN 1998V  2450906.99 17.296 0.041 16.975 0.018 16.285 0.012 16.140 0.016 16.213 0.018 AndyCam/SAO
SN 1998V  2450921.99 18.995 0.076 18.526 0.032 17.147 0.011 16.526 0.017 16.100 0.025 4Sh-chip1/SAO
SN 1998V  2450925.95 19.186 0.056 18.761 0.028 17.408 0.010 16.779 0.016 16.364 0.022 4Sh-chip1/SAO
SN 1998V  2450957.98 19.952 0.199 19.345 0.060 18.395 0.022 18.072 0.038 17.895 0.063 4Sh-chip1/SAO
SN 1998V  2450980.86 20.362 0.160 19.683 0.035 18.960 0.021 18.710 0.030 18.735 0.043 4Sh-chip1/SAO
SN 1998V  2450987.83 -      -     19.823 0.035 19.137 0.018 18.987 0.036 19.057 0.049 4Sh-chip1/SAO
SN 1998V  2451013.79 -      -     20.172 0.049 19.702 0.032 19.700 0.065 19.815 0.111 AndyCam/SAO
SN 1998V  2451077.66 -      -     21.350 0.266 20.626 0.199 21.282 0.280 -      -     4Sh-chip1/SAO
SN 1998ab 2450906.82 15.974 0.038 16.602 0.015 16.570 0.008 16.478 0.013 16.565 0.015 AndyCam/SAO
SN 1998ab 2450920.66 16.216 0.044 16.384 0.019 16.216 0.008 16.082 0.011 16.473 0.017 4Sh-chip1/SAO
SN 1998ab 2450922.65 16.438 0.040 16.533 0.015 16.277 0.009 16.153 0.012 16.520 0.014 4Sh-chip1/SAO
SN 1998ab 2450925.84 16.850 0.040 16.850 0.015 16.388 0.008 16.280 0.012 16.606 0.014 4Sh-chip1/SAO
SN 1998ab 2450930.76 17.673 0.045 17.431 0.018 16.746 0.009 16.503 0.013 16.605 0.015 4Sh-chip1/SAO
SN 1998ab 2450931.81 17.865 0.046 17.583 0.020 16.781 0.011 16.571 0.015 16.583 0.017 4Sh-chip1/SAO
SN 1998ab 2450936.68 18.425 0.065 18.132 0.027 17.106 0.011 16.695 0.017 16.617 0.021 4Sh-chip1/SAO
SN 1998ab 2450938.71 18.840 0.104 18.300 0.032 17.211 0.015 16.772 0.021 16.668 0.023 4Sh-chip1/SAO
SN 1998ab 2450952.69 -      -     19.096 0.037 17.914 0.015 17.311 0.024 17.030 0.028 4Sh-chip1/SAO
SN 1998ab 2450955.65 19.568 0.075 -      -     18.035 0.012 17.452 0.021 17.213 0.031 4Sh-chip1/SAO
SN 1998ab 2450961.69 19.522 0.071 19.365 0.028 18.255 0.013 17.686 0.019 17.520 0.024 AndyCam/SAO
SN 1998ab 2450964.65 -      -     19.505 0.086 18.349 0.029 17.824 0.043 17.683 0.042 4Sh-chip1/SAO
SN 1998ab 2450980.69 19.721 0.113 19.649 0.063 18.702 0.026 18.369 0.042 18.330 0.058 4Sh-chip1/SAO
SN 1998ab 2450987.73 19.882 0.075 19.661 0.052 18.863 0.016 18.542 0.028 18.406 0.067 4Sh-chip1/SAO
